UF;Candidato;Partido;Parentes na política;Já foi eleito?
ALAGOAS;NIVALDO ALBUQUERQUE;PRP;Filho do deputado estadual Antonio Albuquerque;Não
ALAGOAS;MARX BELTRÃO;PMDB;Filho do deputado estadual João Beltrão;Ex-prefeito de Coruripe
ALAGOAS;ARTHUR LIRA;PP;Filho do ex-deputado e atual senador Benedido de Lira;deputado federal
ALAGOAS;CICERO ALMEIDA;PRTB;Não;Ex-prefeito de Maceió (2005-12)
ALAGOAS;PEDRO VILELA;PSDB;Neto de Teotônio Vilela e sobrinho do atual governador de AL, Teotônio Vilela Filho (PSDB);Não
AMAZONAS;SABINO CASTELO BRANCO;PTB;É casado com a deputada estadual Vera Lúcia Castelo Branco (PTB‐AM) e pai do vereador de Manaus Reizo Castelo Branco (PTB‐AM).;deputado federal
AMAZONAS;CARLOS SOUZA;PSD;É irmão de Fausto de Souza Neto (PRTB‐AM), deputado estadual, e de Wallace Souza (PP‐AM), ex‐ deputado estadual (morto em 2010).;deputado federal
AMAZONAS;ARTUR BISNETO;PSDB;Filho do prefeito de Manaus, Artur Virgílio;deputado estadual
AMAZONAS;SILAS CAMARA;PSD;marido da deputada federal Antônia Lucia (PSC-AC);deputado federal
AMAZONAS;MARCOS ROTTA;PMDB;não;deputado estadual
BAHIA;JOSÉ NUNES;PSD;Casado com Fátima Nunes, ex-prefeita de Euclides da Cunha;deputado federal
BAHIA;CACÁ LEÃO;PP;Filho do ex-deputado João Leão;Deputado estadual
BAHIA;LUCIO VIEIRA LIMA;PMDB;Irmão do Geddel e filho do Afrísio;deputado federal
BAHIA;ALELUIA;DEM;Não;deputado federal
BAHIA;CAETANO;PT;Não;Ex-prefeito de Camaçari e ex-deputado estadual
CEARÁ;ANIBAL;PMDB;Irmão do dep. estadual Manuel Duca e marido da ex-vice-prefeita de Acaraú Rossana Borborema;deputado federal
CEARÁ;DR. GUIMARÃES;PV;Não;deputado estadual
CEARÁ;RONALDO MARTINS;PRB;Não;deputado estadual
CEARÁ;MORONI;DEM;Não;Ex-deputado federal
CEARÁ;VITOR VALIM;PMDB;Não;Vereador de Fortaleza
DISTRITO FEDERAL;RÔNEY NEMER;PMDB;Não;deputado estadual
DISTRITO FEDERAL;ALÍRIO;PEN;Não;deputado estadual
DISTRITO FEDERAL;ELIANA PEDROSA;PPS;Não;deputado estadual
DISTRITO FEDERAL;ÉRIKA KOKAY;PT;Não;deputado federal
DISTRITO FEDERAL;FRAGA;DEM;Não;ex-deputado federal
GOIÁS;DANIEL VILELA;PMDB;Filho do ex-governador e ex-senador Maguito Vilela;deputado estadual
GOIÁS;RUBENS OTONI;PT;Irmão do prefeito de Anápolis, Antônio Gomide;deputado federal
GOIÁS;FLAVIA MORAIS;PDT;Mulher de George Morais, ex-deputado estadual e ex-prefeito de Santa Bárbara de Goiás;deputado federal
GOIÁS;MAGDA MOFATTO;PR;Não;deputado federal
GOIÁS;CÉLIO SILVEIRA;PSDB;não;ex-deputado estadual e ex-prefeito de Luziânia
MATO GROSSO;CARLOS BEZERRA;PMDB;Marido de Teté Bezerra, ex-deputada federal;deputado federal
MATO GROSSO;EZEQUIEL FONSECA;PP;não;deputado estadual
MATO GROSSO;J. BARRETO;PR;não;deputado estadual
MATO GROSSO;NILSON LEITÃO;PSDB;não;deputado federal
MATO GROSSO;CHICO DALTRO;PSD;não;vice-governador do MT
MATO GROSSO DO SUL;GERALDO RESENDE;PMDB;não;deputado federal
MATO GROSSO DO SUL;MARÇAL FILHO;PMDB;não;deputado federal
MATO GROSSO DO SUL;BIFFI;PT;não;deputado federal
MATO GROSSO DO SUL;VANDER LOUBET;PT;Sobrinho de Zeca do PT;deputado federal
